Wavenumber;Absorbance
1070.08;1.60
1070.32;1.60
1070.56;1.60
1070.80;1.60
1071.04;1.60
1071.28;1.60
1071.52;1.60
1071.76;1.60
1072.00;1.60
1072.25;1.60
1072.49;1.60
1072.73;1.60
1072.97;1.60
1073.21;1.60
1073.45;1.60
1073.69;1.60
1073.93;1.60
1074.17;1.61
1074.42;1.61
1074.66;1.61
1074.90;1.61
1075.14;1.61
1075.38;1.61
1075.62;1.61
1075.86;1.61
1076.10;1.61
1076.34;1.61
1076.58;1.61
1076.83;1.61
1077.07;1.61
1077.31;1.61
1077.55;1.61
1077.79;1.61
1078.03;1.61
1078.27;1.61
1078.51;1.61
1078.75;1.61
1079.00;1.61
1079.24;1.61
1079.48;1.61
1079.72;1.61
1079.96;1.61
1080.20;1.61
1080.44;1.61
1080.68;1.61
1080.92;1.61
1081.16;1.61
1081.41;1.61
1081.65;1.61
1081.89;1.62
1082.13;1.62
1082.37;1.62
1082.61;1.62
1082.85;1.62
1083.09;1.62
1083.33;1.62
1083.58;1.62
1083.82;1.62
1084.06;1.62
1084.30;1.62
1084.54;1.62
1084.78;1.62
1085.02;1.62
1085.26;1.62
1085.50;1.62
1085.75;1.62
1085.99;1.62
1086.23;1.62
1086.47;1.62
1086.71;1.62
1086.95;1.62
1087.19;1.62
1087.43;1.62
1087.67;1.62
1087.91;1.62
1088.16;1.62
1088.40;1.62
1088.64;1.63
1088.88;1.63
1089.12;1.63
1089.36;1.63
1089.60;1.63
